,Topic,Count,Name,keywords
18,17,20,17_buses_bus_routes_traffic,"[('buses', 0.5083641), ('bus', 0.43600786), ('routes', 0.4121673), ('traffic', 0.40685812), ('street', 0.39422944), ('terminus', 0.37102005), ('lanes', 0.36701244), ('route', 0.35359928), ('tramway', 0.35196963), ('corridor', 0.32699218)]"
19,18,19,18_bus_costs_railway_rail,"[('bus', 0.45089826), ('costs', 0.402202), ('railway', 0.34273767), ('rail', 0.33680508), ('cost', 0.32900727), ('savings', 0.315808), ('millions', 0.2957573), ('million', 0.2781571), ('optimal', 0.26800576), ('kilometers', 0.25800627)]"
20,19,19,19_idea_opening_condominiums_space,"[('idea', 0.34880602), ('opening', 0.33399227), ('condominiums', 0.31213495), ('space', 0.29302657), ('park', 0.29194212), ('central', 0.2863317), ('piazza', 0.2798618), ('planners', 0.27768996), ('underpass', 0.26944837), ('spaces', 0.26690936)]"
21,20,18,20_solutions_solution_issues_alternatives,"[('solutions', 0.47907943), ('solution', 0.4513725), ('issues', 0.35390192), ('alternatives', 0.32866728), ('spending', 0.3144634), ('problem', 0.30645463), ('issue', 0.28371012), ('taxpayer', 0.27993613), ('solve', 0.2761564), ('fix', 0.2653308)]"
22,21,17,21_bonaventure_quartier_bonaventures_redevelopment,"[('bonaventure', 0.58249867), ('quartier', 0.57738787), ('bonaventures', 0.5252927), ('redevelopment', 0.29255846), ('funding', 0.27087656), ('distillery', 0.2681669), ('sector', 0.26750982), ('memorandums', 0.26447436), ('boundary', 0.263624), ('buildingsthat', 0.2595432)]"
23,22,16,22_promoters_promoter_investment_profitability,"[('promoters', 0.5357828), ('promoter', 0.49808037), ('investment', 0.34044367), ('profitability', 0.3229289), ('investments', 0.32253787), ('costs', 0.3213595), ('commitments', 0.31760275), ('deceptive', 0.30756295), ('development', 0.3074228), ('proceeds', 0.29628074)]"
24,23,13,23_tunnel_railway_viaduct_railbridge,"[('tunnel', 0.5140007), ('railway', 0.45202577), ('viaduct', 0.44084883), ('railbridge', 0.42739052), ('corridor', 0.41481346), ('rail', 0.37342072), ('buses', 0.3680129), ('train', 0.36179566), ('buildings', 0.34319836), ('bus', 0.31579933)]"
25,24,13,24_tramway_trams_tram_tramtrain,"[('tramway', 0.7454158), ('trams', 0.5962394), ('tram', 0.50002), ('tramtrain', 0.49403042), ('tramtraintable', 0.46232104), ('sur', 0.36727884), ('le', 0.34766692), ('de', 0.33971214), ('des', 0.3306849), ('havre', 0.3162552)]"
26,25,11,25_walls_wall_pillars_building,"[('walls', 0.57374716), ('wall', 0.5593575), ('pillars', 0.53739417), ('building', 0.44729456), ('facade', 0.4338342), ('concrete', 0.43381178), ('sidewalks', 0.37967563), ('beams', 0.3429385), ('entrances', 0.30629352), ('adjacent', 0.30611965)]"
27,26,11,26_kinki_electric_sharyo_de,"[('kinki', 0.5209155), ('electric', 0.4605807), ('sharyo', 0.44747728), ('de', 0.33147207), ('delaware', 0.3260994), ('valley', 0.30691138), ('siemens', 0.2978655), ('city', 0.26257688), ('avanto', 0.25629047), ('newjersey', 0.253467)]"
28,27,10,27_autoroute_bonaventure_latendresse_selfstorage,"[('autoroute', 0.63192374), ('bonaventure', 0.3435151), ('latendresse', 0.29248914), ('selfstorage', 0.28167456), ('pipeline', 0.25992045), ('phase', 0.25497445), ('ramnagement', 0.24028644), ('reamenagement', 0.2342766), ('transition', 0.2233267), ('lautoroute', 0.22122419)]"
